"_id","plate","__v"
"ObjectId(""604ef8303fa95b001911581f"")","GL09TNJ",0
"ObjectId(""604ef8313fa95b0019115820"")","GL09TNJ",0
"ObjectId(""604ef8313fa95b0019115821"")","GL09TNJ",0
"ObjectId(""604ef8313fa95b0019115822"")","GL19TNJ",0
"ObjectId(""604ef8313fa95b0019115823"")","GL19TNJ",0
"ObjectId(""604ef8313fa95b0019115824"")","GL19TNJ",0
"ObjectId(""604ef8313fa95b0019115825"")","GL19TNJ",0
"ObjectId(""604ef8313fa95b0019115826"")","GL9TNJ",0
"ObjectId(""604ef8313fa95b0019115827"")","GL9TNJ",0
"ObjectId(""604ef8313fa95b0019115828"")","GL19TNJ",0
"ObjectId(""604ef8313fa95b0019115829"")","GL9TNJ",0
"ObjectId(""604ef8313fa95b001911582a"")","GL09TNJ",0
"ObjectId(""604ef8313fa95b001911582b"")","GL19TNJ",0
"ObjectId(""604ef8313fa95b001911582c"")","L19NJ",0
"ObjectId(""604ef8323fa95b001911582d"")","GL19TNJ",0
"ObjectId(""604ef8323fa95b001911582e"")","GL19TNJL",0
"ObjectId(""604ef8323fa95b001911582f"")","GL19TNJ",0
"ObjectId(""604ef8323fa95b0019115830"")","GL19TNJ",0
"ObjectId(""604ef8323fa95b0019115831"")","GL19TNJ",0
"ObjectId(""604ef8323fa95b0019115832"")","GL19TNJ",0
"ObjectId(""604ef8323fa95b0019115833"")","GL19TJ",0
"ObjectId(""604ef8333fa95b0019115834"")","GL19TJ",0
"ObjectId(""604ef8333fa95b0019115835"")","L19TNJ",0
"ObjectId(""604ef8333fa95b0019115836"")","GL9NJ",0
"ObjectId(""604ef8333fa95b0019115837"")","GL19TNJ",0
"ObjectId(""604ef8333fa95b0019115838"")","GL19TNJ",0
"ObjectId(""604ef8373fa95b0019115839"")","73D40",0
"ObjectId(""604ef8383fa95b001911583a"")","173D1",0
"ObjectId(""604ef8383fa95b001911583b"")","073D1",0
"ObjectId(""604ef8383fa95b001911583c"")","07301",0
"ObjectId(""604ef8383fa95b001911583d"")","73D41",0
"ObjectId(""604ef8383fa95b001911583e"")","173D4",0
"ObjectId(""604ef8383fa95b001911583f"")","73D44",0
"ObjectId(""604ef8393fa95b0019115840"")","73D44",0
"ObjectId(""604ef8393fa95b0019115841"")","73D44",0
"ObjectId(""604ef8393fa95b0019115842"")","73D44",0
"ObjectId(""604ef8393fa95b0019115843"")","73D44",0
"ObjectId(""604ef8393fa95b0019115844"")","073D4",0
"ObjectId(""604ef8393fa95b0019115845"")","73D44",0
"ObjectId(""604ef8393fa95b0019115846"")","73D441",0
"ObjectId(""604ef8393fa95b0019115847"")","73D44",0
"ObjectId(""604ef8393fa95b0019115848"")","13D41",0
"ObjectId(""604ef8393fa95b0019115849"")","173D1",0
"ObjectId(""604ef8393fa95b001911584a"")","173D441",0
"ObjectId(""604ef8393fa95b001911584b"")","73D441",0
"ObjectId(""604ef8393fa95b001911584c"")","173D4",0
"ObjectId(""604ef83a3fa95b001911584d"")","73D44",0
"ObjectId(""604ef83a3fa95b001911584e"")","73D41",0
"ObjectId(""604ef83a3fa95b001911584f"")","73D44",0
"ObjectId(""604ef83a3fa95b0019115850"")","73D44",0
"ObjectId(""604ef83a3fa95b0019115851"")","73D441",0
"ObjectId(""604ef83a3fa95b0019115852"")","73D441",0
"ObjectId(""604ef83a3fa95b0019115853"")","73D44",0
"ObjectId(""604ef83a3fa95b0019115854"")","73D441",0
"ObjectId(""604ef83a3fa95b0019115855"")","173D441",0
"ObjectId(""604ef83a3fa95b0019115856"")","73D441",0
"ObjectId(""604ef83a3fa95b0019115857"")","073D44",0
"ObjectId(""604ef83a3fa95b0019115858"")","73D44",0
"ObjectId(""604ef83a3fa95b0019115859"")","173D44",0
"ObjectId(""604ef83a3fa95b001911585a"")","73D44",0
"ObjectId(""604ef83b3fa95b001911585b"")","73D44",0
"ObjectId(""604ef83b3fa95b001911585c"")","73D44",0
"ObjectId(""604ef83b3fa95b001911585d"")","73D44",0
"ObjectId(""604ef83b3fa95b001911585e"")","73D44",0
"ObjectId(""604ef83b3fa95b001911585f"")","73D44",0
"ObjectId(""604ef83b3fa95b0019115860"")","73D441",0
