_id,registration
5ef8bf13190562375f90bfed,GL69XNF
5ef8bf13190562375f90bfee,Y55SHU
5ef8bf13190562375f90bfef,Y55SHU
5ef8bf13190562375f90bff0,Y55SHU
5ef8bf13190562375f90bff1,Y55SHU
5ef8bf14190562375f90bff2,Y55SHU
5ef8bf14190562375f90bff3,Y55SHU
5ef8bf14190562375f90bff4,Y55SHU
5ef8bf14190562375f90bff5,Y55SHU
5ef8bf14190562375f90bff6,Y55SHU
5ef8bf14190562375f90bff7,Y55SHU
5ef8bf14190562375f90bff8,YL18NDV
5ef8bf14190562375f90bff9,R051NXD
5ef8bf14190562375f90bffa,R051NXD
5ef8bf14190562375f90bffb,RO51NXD
5ef8bf14190562375f90bffc,RO51NXD
5ef8bf14190562375f90bffd,R051NXD
5ef8bf15190562375f90bffe,RO51NXD
5ef8bf15190562375f90bfff,RO51NXD
5ef8bf15190562375f90c000,R051NXD
5ef8bf15190562375f90c001,RO51NXD
5ef8bf15190562375f90c002,RO51NXD
5ef8bf15190562375f90c003,RO51NXD
5ef8bf15190562375f90c004,RO51NX
5ef8bf15190562375f90c005,R05NXD
5ef8bf15190562375f90c006,LC67DND
5ef8bf15190562375f90c007,LC67DND
5ef8bf15190562375f90c008,LC67DND
5ef8bf15190562375f90c009,LC67DND
5ef8bf15190562375f90c00a,LC67DND
5ef8bf15190562375f90c00b,LC67DND
5ef8bf15190562375f90c00c,LC67DND
5ef8bf16190562375f90c00d,LC67DND
5ef8bf16190562375f90c00e,LC67DND
5ef8bf16190562375f90c00f,LHKNV
5ef8bf16190562375f90c010,LHKNV
5ef8bf16190562375f90c011,LMKNV
5ef8bf16190562375f90c012,LHHKNV
5ef8bf16190562375f90c013,LMKNV
5ef8bf16190562375f90c014,LMKNV
5ef8bf16190562375f90c015,LMKNV
5ef8bf16190562375f90c016,LUKNV
5ef8bf16190562375f90c017,LMKNV
5ef8bf16190562375f90c018,LMKNV
5ef8bf16190562375f90c019,LM0KNV
5ef8bf16190562375f90c01a,LMKNV
5ef8bf16190562375f90c01b,LMKNV
5ef8bf16190562375f90c01c,0Y18D5U
5ef8bf17190562375f90c01d,OY18DSU
5ef8bf17190562375f90c01e,0Y18D5U
5ef8bf17190562375f90c01f,OY18DSU
5ef8bf17190562375f90c020,OY18DSU
5ef8bf17190562375f90c021,0Y19DSU
5ef8bf17190562375f90c022,LK16UY
5ef8bf17190562375f90c023,LK16UYG
5ef8bf17190562375f90c024,LK16UYG
5ef8bf17190562375f90c025,LK16UYG
5ef8bf17190562375f90c026,LK16UYG
5ef8bf17190562375f90c027,LK16UYG
5ef8bf17190562375f90c028,LK16UYG
5ef8bf17190562375f90c029,LG17ZVW
5ef8bf18190562375f90c02a,LG17ZVW
5ef8bf18190562375f90c02b,LG17ZVW
5ef8bf18190562375f90c02c,LG17ZVW
5ef8bf18190562375f90c02d,LG07ZVW
5ef8bf18190562375f90c02e,LG17ZVW
5ef8bf18190562375f90c02f,LG17ZVW
5ef8bf18190562375f90c030,LG17ZVW
5ef8bf18190562375f90c031,LG17ZVW
5ef8bf18190562375f90c032,LG17ZVW
5ef8bf18190562375f90c033,LG17ZVW
5ef8bf18190562375f90c034,LG17ZVW
5ef8bf18190562375f90c035,LG17ZVW
5ef8bf18190562375f90c036,LG17ZVW
5ef8bf18190562375f90c037,LG07ZVW
5ef8bf18190562375f90c038,LG17ZVW
5ef8bf18190562375f90c039,LG07ZVW
5ef8bf19190562375f90c03a,LG17ZVW
5ef8bf19190562375f90c03b,LG07ZVW
5ef8bf19190562375f90c03c,LG17ZVW
5ef8bf19190562375f90c03d,LG07ZVW
5ef8bf19190562375f90c03e,LG17ZVW
5ef8bf19190562375f90c03f,LG17ZVW
5ef8bf19190562375f90c040,LG17ZVW
5ef8bf19190562375f90c041,LG07ZVW
5ef8bf19190562375f90c042,LG07ZVW
5ef8bf19190562375f90c043,LG17ZVW
5ef8bf19190562375f90c044,LG17ZVW
5ef8bf19190562375f90c045,RK16LUF
5ef8bf19190562375f90c046,RK16LUF
5ef8bf19190562375f90c047,RK16LUF
5ef8bf1a190562375f90c048,RK16LUF
5ef8bf1a190562375f90c049,RK06LUF
5ef8bf1a190562375f90c04a,RK16LUF
5ef8bf1a190562375f90c04b,RK16LUF
5ef8bf1a190562375f90c04c,RK06LUF
5ef8bf1a190562375f90c04d,FX50VE
5ef8bf1a190562375f90c04e,FX50VE
5ef8bf1a190562375f90c04f,FX50VE
