Card number,3rd LPN,2nd LPN,License plate
93,,,
94,,,
95,,,
96,,,
97,,,
100,,,
99,,,
103,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
,,,
,,,
,,,
82,,,
83,,,
101,,,
75,,,
88,,,
91,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
60,,,
59,,,
61,,,
64,,,
66,,,
102,,,
72,,,
28,,,
29,,,
33,,,
37,,,
35,,,
41,,,
42,,,
43,,,
48,,,
49,,,
50,,,
15,,,
22,,,
,,,
,,,
,,,
,,,
,,,
6,,,
9,,,
19,,,
7,,,
,,,
,,,
837,,,
838,,,
839,,,
840,,,
841,,,
842,,,
843,,,
844,,,
845,,,
846,,,
802,,,
803,,,
861,,,
862,,,
863,,,
961,,,
916,,,
1016,,,
1038,,,
553,,,
565,,,
616,,,
542,,,
912,,,
1018,,,
1081,,,
614,,,
640,,,
738,,,
675,,LM12WXY,
758,,,
779,,,
737,,,
734,,,
,,WR19JVZ,
502,,,
503,,,
504,,,
518,,,
516,,,
524,,,
525,,,
551,,,
554,,,
555,,,
560,,,
539,,,
537,,,
192,,,
191,,,
-15,,WG16OKV,
-16,,,
-21,,,
,,,
199,,,
198,,,
197,,,
196,,,
195,,,
194,,,
193,,,
,,,
,YA69YTZ,OV63GOP,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,HY68JZF,4NVE,
,,,
,,MH18EUZ,
,,LB18FBA,
,,,
,,LA68NKM,
,,EF67OGN,
,,DE56WZA,
,,,
,,,
,,,
,,,
,,FN69EEY,
1003,,,
1024,,,
,,,
,,,
,,,
,,,
,,LB18RXF,
498,,,
592,,,
595,,,
599,,,
643,,,
650,,,
651,,,
662,,,
693,,,
705,,,
716,,,
727,,,
728,,,
970,,,
972,,,
974,,,
1078,,,
1079,,,
177,,,
174,,,
176,,,
178,,,
179,,,
159,,,
430,,,
163,,,
164,,,
341,,,
1006,,,
1052,,,
1056,,,
1067,,,
1075,,,
1020,,,
1028,,,
1039,,,
1042,,FE67HGC,
986,,,
987,,,
990,,,
992,,,
993,,,
997,,,
1005,,,
958,,,
959,,,
960,,,
315,,,
967,,,
975,,,
983,,KK19KNA,
981,,,
985,,,
978,,,
924,,,
926,,,
932,,,
938,,,
941,,,
942,,,
768,,,
867,,,
868,,,
910,,,
922,,,
902,,,
920,,,
678,,,
829,,,
847,,,
848,,,
852,,,
830,,,
600,,GA57ONE,
603,,,
632,,YD64GPO,
673,,,
896,,,
277,,,
823,,LJ68XMA,
822,,,
359,,,
751,,,
756,,,
267,,LG17RLO,
732,,,
748,,,
1061,,,
1062,,,
692,,,
694,,,
347,,,
718,,,
914,,,
919,,,
954,,,
971,,,
984,,,
1051,,,
1055,,,
1060,,,
865,,,
644,,,
752,,,
819,,,
870,,,
872,,,
237,,,
233,,,
631,,,
50,,,
313,,,
342,,,
,,,
214,,BV16MFX,
32,,J1RHG,
11,,,
416,,,
457,,,
97,,KP17CDN,
59,BK54XLW,EO15OJU,
20,,,
91,,T77MVA,
92,,LJ67WFT,
131,,LD65YCF,
100,,,
12,,,
52,,,
67,,,
13,HT04CNZ,RA08OSW,
14,,,
8,,,
64,,,
151,,,
65,,,
60,,,
130,,,
103,,,
113,,,
5,LN68MXG,OE67THN,
16,,KY19FOM,
127,,,
76,,,
143,,,
142,,,
39,,,
140,,,
99,,,
96,,,
22,,,
73,,,
4,,,
49,,,
119,,,
114,LB10RNU,LB10RNU,
,,,
455,,,
29,,,
145,,,
909,,,1057084
988,,,150150
1031,,,151D40596
1065,,JD437,173D437
1004,,JD44,173D441
126,,,1MKY
88,,,1OFY
